load,relative_distance,fleet_size
0.1,1.5312982793629557,8
0.15,1.532394210838766,8
0.2,1.5388731338985306,8
0.25,1.5402772361335235,8
0.3,1.543834150237463,8
0.35,1.5437955182683134,8
0.4,1.5433229197450176,8
0.45,1.5370952089254255,8
0.5,1.5229714841869757,8
0.55,1.4911491161751662,8
0.6,1.4572072364001647,8
0.65,1.4092572766986025,8
0.7,1.3507653207392585,8
0.75,1.2874673421316174,8
0.8,1.227314793673336,8
0.85,1.1583835160964258,8
0.9,1.09914248705419,8
0.95,1.0424290709688433,8
1.0,0.997468292864638,8
1.05,0.9500390470839272,8
1.1,0.9101969574615691,8
1.15,0.8650742128243684,8
1.2,0.8294604081553617,8
1.25,0.7949436448849372,8
1.5,0.6630147274019341,8
1.75,0.572805086902116,8
2.0,0.5094547581593172,8
2.25,0.4507074737468796,8
2.5,0.4085170386646948,8
2.75,0.3715312767783925,8
3.0,0.34303655200295,8
3.25,0.3187661687489835,8
3.5,0.2990469176615542,8
3.75,0.2804308673190366,8
4.0,0.2643394161468206,8
0.1,1.4047093641959651,16
0.15,1.4032922144239937,16
0.2,1.4052910943550418,16
0.25,1.405038697509054,16
0.3,1.4046027147074762,16
0.35,1.4050172364748963,16
0.4,1.4035868619123943,16
0.45,1.4012758883713123,16
0.5,1.3955629904976647,16
0.55,1.3831488872664166,16
0.6,1.3661354028160235,16
0.65,1.3404557367359524,16
0.7,1.3053315731341335,16
0.75,1.2600579442872584,16
0.8,1.206956535184433,16
0.85,1.1497760567157569,16
0.9,1.0939043453472594,16
0.95,1.0430138921773642,16
1.0,0.994293303617018,16
1.05,0.9460506280843544,16
1.1,0.9061592594798736,16
1.15,0.8659463808739518,16
1.2,0.8326872950639145,16
1.25,0.8006231351940665,16
1.5,0.669418283325157,16
1.75,0.581866534292418,16
2.0,0.509751695776988,16
2.25,0.4566847885993484,16
2.5,0.4130016128625458,16
2.75,0.3737602933025595,16
3.0,0.3433741738347898,16
3.25,0.3195232269316893,16
3.5,0.2968674723367223,16
3.75,0.2762538934371238,16
4.0,0.26024578739351,16
0.1,1.3028659944281769,32
0.15,1.3005515335301907,32
0.2,1.2996599212290028,32
0.25,1.2974029810643888,32
0.3,1.2953872714490988,32
0.35,1.2952320630804508,32
0.4,1.2892658621514927,32
0.45,1.2861328702085402,32
0.5,1.2817886387754152,32
0.55,1.2792766267631457,32
0.6,1.2696947752585832,32
0.65,1.2593387264387577,32
0.7,1.238473533012516,32
0.75,1.2143455033034074,32
0.8,1.1860703026931316,32
0.85,1.1493691247123965,32
0.9,1.1039511089019556,32
0.95,1.056856688092372,32
1.0,1.0095363392736052,32
1.05,0.9645220222932316,32
1.1,0.9227122141681328,32
1.15,0.8832754270654524,32
1.2,0.8464504000107952,32
1.25,0.8147538027212697,32
1.5,0.6747654859222258,32
1.75,0.581381075741668,32
2.0,0.5068219726305618,32
2.25,0.4497996503802899,32
2.5,0.4049012227618985,32
2.75,0.3693474504230876,32
3.0,0.3393070466636406,32
3.25,0.3130087256845786,32
3.5,0.2910433809709198,32
3.75,0.2722061432298172,32
4.0,0.2557801350791199,32
0.1,1.2225033114709107,64
0.15,1.2206372522051132,64
0.2,1.217513948092564,64
0.25,1.2144326860154324,64
0.3,1.213403990289995,64
0.35,1.2110268181559904,64
0.4,1.20600485598259,64
0.45,1.2027572771729986,64
0.5,1.1990966884219734,64
0.55,1.1932726312892623,64
0.6,1.1876732181741745,64
0.65,1.1770393594788515,64
0.7,1.1636406124145668,64
0.75,1.146696330684435,64
0.8,1.128423602626605,64
0.85,1.1036853571119525,64
0.9,1.0696787769258391,64
0.95,1.034389087057968,64
1.0,0.9941700307730024,64
1.05,0.9528365207419632,64
1.1,0.9117921333656088,64
1.15,0.8754881647853788,64
1.2,0.8375672895884574,64
1.25,0.8034127516839059,64
1.5,0.6709817425647683,64
1.75,0.5740713704902702,64
2.0,0.5029237153902344,64
2.25,0.4489719338587539,64
2.5,0.4047791678028272,64
2.75,0.3688503019885196,64
3.0,0.3384253800444904,64
3.25,0.3127282581109148,64
3.5,0.2903138748212582,64
3.75,0.2717278856629381,64
4.0,0.2547500525123946,64
0.1,1.1623174726537624,128
0.15,1.1596241823347495,128
0.2,1.157054459058056,128
0.25,1.1546981125698093,128
0.3,1.1520496891189569,128
0.35,1.1483252582650758,128
0.4,1.1443793654360417,128
0.45,1.1396364118463629,128
0.5,1.134551443624093,128
0.55,1.1283702326581169,128
0.6,1.12198669312594,128
0.65,1.1131918356160295,128
0.7,1.1027009510453445,128
0.75,1.090476274437962,128
0.8,1.075515371190386,128
0.85,1.0550144536969903,128
0.9,1.0329799400651405,128
0.95,1.0056994193221416,128
1.0,0.9749011374765746,128
1.05,0.941782206053926,128
1.1,0.9061550151429492,128
1.15,0.8707418009644428,128
1.2,0.8361126954782346,128
1.25,0.8036932223847599,128
1.5,0.6708215380447962,128
1.75,0.5748301423970981,128
2.0,0.5035774842803616,128
2.25,0.4475814726632102,128
2.5,0.403470811636211,128
2.75,0.367059542419574,128
3.0,0.3365778271433379,128
3.25,0.3106438722237841,128
3.5,0.2882344779299307,128
3.75,0.2690528285757556,128
4.0,0.2527641709662848,128
