load,relative_distance,capacity
0.1,1.1613799800692186,4.0
0.15,1.1582236068788616,4.0
0.2,1.1557129359695175,4.0
0.25,1.1523712258690015,4.0
0.3,1.149585558288066,4.0
0.35,1.1456600384590232,4.0
0.4,1.1431038313735846,4.0
0.45,1.1393054318179052,4.0
0.5,1.1329537560773395,4.0
0.55,1.1264757594630743,4.0
0.6,1.120149676986235,4.0
0.65,1.1114747793930166,4.0
0.7,1.1020932868236175,4.0
0.75,1.087551985258978,4.0
0.8,1.0737481124631103,4.0
0.85,1.0543007213599622,4.0
0.9,1.031610487128418,4.0
0.95,1.0047480380143008,4.0
1.0,0.9726723861007742,4.0
1.05,0.9382970750330588,4.0
1.1,0.9095402101493488,4.0
1.15,0.8646254902718196,4.0
1.2,0.8363285905347968,4.0
1.25,0.8018064712643691,4.0
1.5,0.6662095058965777,4.0
1.75,0.5707207114984276,4.0
2.0,0.5020366196029574,4.0
2.25,0.4456594349298936,4.0
2.5,0.3996574540956664,4.0
2.75,0.3632496098676132,4.0
3.0,0.3339573456353778,4.0
0.1,1.160558548761896,8.0
0.15,1.1584914519306044,8.0
0.2,1.1569541495882594,8.0
0.25,1.1536630134541446,8.0
0.3,1.1505321241433637,8.0
0.35,1.1474118415220065,8.0
0.4,1.1423119616791435,8.0
0.45,1.1383618563532345,8.0
0.5,1.131679198739961,8.0
0.55,1.1293664710687414,8.0
0.6,1.1205238329144265,8.0
0.65,1.112371426153703,8.0
0.7,1.101168451306086,8.0
0.75,1.0898955629262614,8.0
0.8,1.0732166973523822,8.0
0.85,1.0548468979685943,8.0
0.9,1.0307793601427144,8.0
0.95,1.000604487496244,8.0
1.0,0.9712751276640142,8.0
1.05,0.9389628438898152,8.0
1.1,0.9048264438594796,8.0
1.15,0.8668688800249925,8.0
1.2,0.832930635295999,8.0
1.25,0.799796403971843,8.0
1.5,0.668573515811682,8.0
1.75,0.5709015622566483,8.0
2.0,0.5010691507220443,8.0
2.0,0.4989020216925164,8.0
2.25,0.4451644970136525,8.0
2.25,0.4460900685387907,8.0
2.5,0.3990748237137864,8.0
2.5,0.4016774077417861,8.0
2.75,0.3634096559942647,8.0
3.0,0.3329146520642102,8.0
3.25,0.3078287351308003,8.0
0.1,1.162268405349602,16.0
0.15,1.1600239642620345,16.0
0.2,1.157235090741605,16.0
0.25,1.1525136332577004,16.0
0.3,1.150180001127669,16.0
0.35,1.1458892190469887,16.0
0.4,1.142855520797397,16.0
0.45,1.1378382230645785,16.0
0.5,1.1325669946087755,16.0
0.55,1.1272001094508837,16.0
0.6,1.1193651422231596,16.0
0.65,1.1113710888887145,16.0
0.7,1.1017521887710762,16.0
0.75,1.0898284175500743,16.0
0.8,1.072068020110371,16.0
0.85,1.0529455657495017,16.0
0.9,1.0293932440538085,16.0
0.95,1.0026557134969956,16.0
1.0,0.9750822011320752,16.0
1.05,0.9404254859140088,16.0
1.1,0.9056973396623024,16.0
1.15,0.8657603657034797,16.0
1.2,0.8391222254510955,16.0
1.25,0.7944238254708436,16.0
1.5,0.6640894832383095,16.0
1.75,0.5739437385547645,16.0
2.0,0.4984767397853183,16.0
2.0,0.5007773140781334,16.0
2.25,0.4453067302894715,16.0
2.25,0.4449675268704213,16.0
2.5,0.3994526583584244,16.0
2.5,0.3993920530302883,16.0
2.75,0.363576842337229,16.0
2.75,0.3620351301840739,16.0
3.0,0.3337329604327947,16.0
3.0,0.3316905124638137,16.0
3.25,0.3083194822522163,16.0
3.25,0.3079951011930615,16.0
3.5,0.2864427113835391,16.0
3.5,0.2854856647156148,16.0
3.75,0.2662920862655298,16.0
3.75,0.2662785023973288,16.0
4.0,0.2492178026681289,16.0
4.25,0.2348900230415001,16.0
0.1,1.1620259714153094,24.0
0.15,1.1603680206478268,24.0
0.2,1.1566755155918709,24.0
0.25,1.154584461697202,24.0
0.3,1.1497397388847803,24.0
0.35,1.146823274068761,24.0
0.4,1.1422107635000207,24.0
0.45,1.1382888267972922,24.0
0.5,1.133673668534651,24.0
0.55,1.127076942206571,24.0
0.6,1.1211140980377965,24.0
0.65,1.1115335097466958,24.0
0.7,1.1015796279056034,24.0
0.75,1.088002562828405,24.0
0.8,1.0730788972539758,24.0
0.85,1.057902766083757,24.0
0.9,1.0318845606922016,24.0
0.95,0.9981168532176292,24.0
1.0,0.9708912368717508,24.0
1.05,0.9421269167801124,24.0
1.1,0.9078220824839676,24.0
1.15,0.8643732438212978,24.0
1.2,0.8364505283316079,24.0
1.25,0.7999777373754801,24.0
1.5,0.6671964074092207,24.0
1.75,0.5694592376218398,24.0
2.0,0.5006368653387713,24.0
2.0,0.4998155450255128,24.0
2.25,0.4456513956201195,24.0
2.25,0.4445735545477691,24.0
2.5,0.4003578685134873,24.0
2.5,0.4005180995748479,24.0
2.75,0.3645013077394245,24.0
2.75,0.3630952284277263,24.0
3.0,0.331492351625495,24.0
3.0,0.3333793230977722,24.0
3.25,0.3085987621805175,24.0
3.25,0.3077129161361256,24.0
3.5,0.2862208584923322,24.0
3.5,0.2856013673486763,24.0
3.75,0.2668186966803886,24.0
3.75,0.2669359953539373,24.0
4.0,0.2496565727598389,24.0
4.0,0.2495964194083254,24.0
4.25,0.2351258194263391,24.0
4.25,0.2358103042356565,24.0
4.5,0.2225446349211508,24.0
4.75,0.2105730926278782,24.0
5.0,0.200321233408383,24.0
0.1,1.161572662809247,inf
0.15,1.1602278834911168,inf
0.2,1.1558001179389548,inf
0.25,1.1533707627087533,inf
0.3,1.1508049039581127,inf
0.35,1.1473122828920534,inf
0.4,1.142553039078339,inf
0.45,1.1375004034812757,inf
0.5,1.1340181855061795,inf
0.55,1.126717164897439,inf
0.6,1.119143035803883,inf
